MSL MISSION SOL, Ls, Mars Year, LOSOD, LOSOD_Err

100,208.15,31,0.087053,0.0074113
101,208.82,31,0.081568,0.0070219
105,211.32,31,0.077329,0.0063751
117,218.94,31,0.063592,0.0052292
119,220.2,31,0.068652,0.0057147
122,222.09,31,0.07322,0.00621
124,223.38,31,0.074782,0.0060988
300,333.29,31,0.061332,0.0052464
306,336.68,31,0.053804,0.004504
311,339.39,31,0.067679,0.0057163
315,341.59,31,0.063181,0.0052878
319,343.72,31,0.066996,0.005635
323,345.88,31,0.058771,0.004868
328,348.56,31,0.069628,0.0058355
331,350.16,31,0.066617,0.0053794
339,354.37,31,0.068275,0.0054137
348,359.01,31,0.063778,0.0049215
352,1.1018,32,0.056995,0.0045792
368,9.1838,32,0.053565,0.0044105
374,12.129,32,0.057083,0.0043217
380,15.1,32,0.05219,0.0039284
390,19.964,32,0.050595,0.0039861
399,24.285,32,0.054685,0.0045032
408,28.615,32,0.041749,0.0029714
421,34.715,32,0.043654,0.0034396
425,36.544,32,0.052317,0.0041367
427,37.495,32,0.046263,0.0035992
435,41.19,32,0.047126,0.0033263
468,56.223,32,0.033458,0.0024087
491,66.579,32,0.028521,0.0022344
503,71.93,32,0.029999,0.0021121
520,79.55,32,0.026539,0.0017864
527,82.701,32,0.028013,0.0018928
575,104.61,32,0.030517,0.0024147
590,111.63,32,0.027327,0.0019001
635,133.38,32,0.039144,0.0029652
648,139.94,32,0.041979,0.004022
656,144.05,32,0.04033,0.0039016
720,178.96,32,0.053092,0.0049643
730,184.82,32,0.052942,0.0051037
766,206.59,32,0.078011,0.0069697
779,214.73,32,0.077166,0.0074171
795,224.88,32,0.080991,0.0079101
808,233.24,32,0.084772,0.007936
812,235.88,32,0.080143,0.0075295
823,243,32,0.082779,0.0080547
835,250.81,32,0.076322,0.0073507
840,254.09,32,0.087353,0.0082614
844,256.7,32,0.087188,0.0084527
854,263.19,32,0.094327,0.0088739
864,269.72,32,0.08559,0.0087022
886,283.81,32,0.094941,0.0092621
890,286.36,32,0.096422,0.0091555
895,289.48,32,0.096803,0.0094034
907,296.95,32,0.09555,0.0090593
915,301.91,32,0.11075,0.0099524
921,305.56,32,0.10713,0.0097002
925,307.97,32,0.103,0.0097365
929,310.4,32,0.10779,0.0098407
931,311.58,32,0.097157,0.0091981
939,316.34,32,0.090048,0.0084547
943,318.7,32,0.080143,0.0076307
945,319.83,32,0.082579,0.0080031
949,322.17,32,0.081874,0.0081088
961,329.06,32,0.07889,0.0074249
968,332.99,32,0.085557,0.0079282
984,341.79,32,0.077326,0.0071694
990,345.04,32,0.073078,0.0070112
997,348.81,32,0.075051,0.0075193
1000,350.39,32,0.071021,0.0071782
1027,4.3701,33,0.065896,0.0066465
1039,10.394,33,0.061424,0.0062917
1047,14.324,33,0.060506,0.0059845
1052,16.766,33,0.05837,0.0057688
1055,18.25,33,0.057083,0.0057368
1071,25.94,33,0.055195,0.0052929
1078,29.24,33,0.05962,0.0054767
1086,33.001,33,0.055554,0.0054573
1115,46.423,33,0.061,0.0059925
1133,54.597,33,0.052177,0.0049244
1154,64.064,33,0.042979,0.0039338
1188,79.323,33,0.030746,0.0027051
1221,94.233,33,0.033173,0.0029721
1229,97.906,33,0.032721,0.0031821
1253,109.01,33,0.028495,0.002664
1254,109.47,33,0.031946,0.0029723
1272,117.98,33,0.041641,0.0037839
1299,131.14,33,0.04491,0.0042854
1328,145.8,33,0.050151,0.0045051
1355,160.17,33,0.06017,0.0052497
1363,164.57,33,0.057639,0.0050994
1401,186.22,33,0.071926,0.0061974
1413,193.37,33,0.071929,0.0063375
1421,198.24,33,0.070504,0.0061353
1429,203.13,33,0.077085,0.0066287
1450,216.2,33,0.091789,0.0074776
1470,228.99,33,0.091998,0.0076136
1476,232.86,33,0.089254,0.0073285
1481,236.08,33,0.084025,0.0066755
1499,247.81,33,0.091171,0.0072451
1509,254.32,33,0.091289,0.0070786
1521,262.19,33,0.089528,0.0068703
1532,269.32,33,0.088648,0.0067495
1541,275.11,33,0.088329,0.0067223
1555,284.05,33,0.094581,0.0071136
1565,290.36,33,0.099472,0.0075051
1582,300.91,33,0.09908,0.0074597
1613,319.52,33,0.079761,0.0062895
1631,329.84,33,0.085508,0.0065599
1641,335.47,33,0.081655,0.0062515
1652,341.51,33,0.082737,0.0063921
1658,344.78,33,0.078557,0.0060957
1661,346.4,33,0.075344,0.0057528
1701,7.1189,34,0.061645,0.0046584
